No.,답변,질문
,끄덕,오리가 인사하면?
,끼룩,갈매기가 옷을 입으면?
,끼리끼리,"코끼리 2마리가 서로 싸워, 둘 다 코가 떨어져 나갔다면?"
,나시고랭,너 이번 추석에 어디 가?
,나이,먹다 보면 결국에는 죽는데 안 먹을 수 없는 것은?
,나이,편식이 아무리 심한 사람이라도 어쩔 수 없이 먹는 것은?
,나이 키,이력서 쓸 때마다 등장하는 회사 이름은?
,나이야가라,노인이 가장 좋아하는 폭포는?
,난 밥을 준비할게,넌 죽을 준비해
,난이도,세종대왕이 자기소개를 하면?
,날벼락,자기를 계속 베어 달라고 하는 것은?
,내 이름,내 것인데 남이 더 많이 쓰는 것은?
,내 이마로,네이마르가 헤딩골을 넣고 자신의 머리를 가리키면서 한 말은?
,내가 지단이,지단이 경기에서 질 때마다 하는 말은?
,내맘대로,내 마음대로 가는 길은?
,내쇼날,내가 무대에 데뷔한 날을 영어로?
,너와 함께라면,세상에서 가장 따뜻한 라면은?
,넉살,창피한 것도 모르고 체면도 모르는 사람의 나이는?
,네일 아트,예술가가 자기소개하는 말은?
,노끈,"""끈이 없다""를 2자로?"
,노동,1 더하기 1은?
,노래방,엄마가 일어나면 아빠가 책 보는 곳은?
,노량진,고시생들이 가장 많이 찾는 청바지는?
,노르웨이,노루가 다니는 길의 이름은?
,노발대발,"""할아버지 발이 제일 크다""를 4자로?"
,노벨상,종업원을 부르는 벨이 없는 테이블은?
,노사연,스캔들 하나 없는 연예인은?
,노원동,아무도 살지 않는 동네는?
,녹색 어머니,슈렉 엄마 이름은?
,녹차,자동차가 녹슬면?
,뇌,사고뭉치를 1자로?
,누네띠네,도둑이 싫어하는 과자는?
,누드,여자는 무드에 약하다
,눈,가까워도 서로 못 보고 사는 것은?
,눈,머리를 감을 때 어디부터 감을까?
,"눈깜짝할 새, 금새",가장 빠른 새는?
,눈꼽,남녀가 자고 나면 생기는 것은?
,눈에 뵈는 게 없으니까,장님과 싸우면 못 이기는 이유는?
,뉴욕,날마다 새로운 욕을 만들어 내는 도시는?
,니 생김새,가장 못생긴 새는?
,다 불어라,프랑스에서 라면 먹으면 안 되는 이유?
,다 죽었기 때문,지구상에서 공룡이 멸종한 이유는?
,다나까,물고기를 가장 잘 낚는 일본인은?
,다낭,아플 때 가는 여행지는?
,다문화,꽃이 입을 다물고 있으면?
,다비치,가장 야한 가수는?
,다산 정약용,정약용이 죽으면?
,다섯,모든 사람을 일어나게 하는 숫자는?
,다이빙,얼음이 죽으면?
,다이소,소가 죽으면?
,다이스키,죽으면서 하는 고백은?
,다이아몬드,아몬드가 죽으면?
,다이하드,아이스크림이 죽으면?
,단발머리,머리에 총을 한 발 쏘면?
,단체 소송,소가 단체로 노래 부르는 것은?
,달걀,삶은?
,달력,달에 지하철이 있으면?
,달팽이,달에서 돌고 있으면?
,닭처,닭의 부인은?
,당나귀,귀에 발이 달렸으면?
,대나무,작아도 크다고 하는 나무는?
,대머리,헤어 나올 수가 없는 것은?
,대장균,가장 강력한 세균은?
,대통령앉은거,대통령선거의 반대말은?
,대하드라마,새우가 주인공인 드라마는?
,대학,정말 큰 학은?
,댕기는 곳,학교는 다니는 곳이다. 그럼 핵교는?
,더워,여름마다 일어나는 전쟁은?
,덥군,가장 더운 남자는?
,덧니,2 더하기 2는?
,도다리,바닷속에 있는 다리는?
,도마뱀,부엌칼에 너무 힘을 많이 주면은?
,도시락,도시인들이 밥을 먹으면서 즐기는 기쁨을 뭐라고 하나?
,독수리,밑 빠진 독에 물 담을 수 있게 콩쥐를 도와준 동물은?
,독일,강아지가 한 마리만 있는 나라?
,독일 수도,베를린에서 음식을 함부로 먹으면 안 되는 이유?
,돈가스,돼지가 방귀 뀌는 것은?
,돌파리,제일 무거운 파리는?
,동물의 왕국,사자를 잡아다 끓인 국은?
,동성동본,갑돌이와 갑순이가 결혼을 못한 이유는?
,동요,지진이 일어날 때 절대 부르면 안 되는 노래는?
,동일인물,성동일이 물에 빠지면?
,동작구만,타짜의 아귀가 사는 동네는?
,돼지,긍정적인 동물은?
,두리번,차두리가 화상을 입었다면?
,두바위,한가위 다음날은?
,두부한모,어머니가 한 명인데 아버지가 둘인 것은?
,두산베어스,칼로 산을 두 개로 자르면?
,듀얼코어,코가 2개인 물고기는?
,드르륵,'미닫이'를 소리 나는 대로 적으면?
,디바우러,디바가 울면?
,디카 폐인,사진 찍는 것에 환장하는 사람이 마시는 커피는?
,딸기시럽,딸기가 회사에서 잘리면?
,딸기쨈,딸기가 도망가면?
,땅 팔자 사람 팔자,땅투기꾼과 인신매매업자를 7자로?
,떠들석,소음이 심하게 나는 돌은?
,떡 상할까봐,떡집 사장이 주식을 안 하는 이유는?
,똑똑한 여자,문을 두드리고 있는 여자를 5자로?
,똥고집,목수도 고칠 수 없는 집은?
,뚫으마,마그마의 반대말은?
,라이언 일병 구하기,사자가 빈병을 줍는 알바를 하는 것은?
,락페스티벌,돌잔치를 영어로 하면?
,래빗,토끼가 빗는 빗은?
,로딩중,가장 지루한 중학교?
,룰루랄라,규칙으로 행복한 세상을 4자로?
,마! 우스라고,경상도 쥐가 개그를 쳤는데 아무 반응이 없을 때 하는 말은?
,마그마,가장 잘 막는 골키퍼는?
,마이산,모두가 자기 산이라고 우기는 산은?
,마이클 조던,외국인 친구 '던'에게 마이크 달라고 할 때 하는 말은?
,말보로,담배가 경마장에 간 이유는?
,말세니까,마부가 말이 몇 필인지 세고 있으면 안좋은 이유는?
,말장난,경마장에서 하는 장난은?
,말장수,천 냥 빚을 말로 갚은 사람은?
,맘마미아,엄마가 길을 잃으면?
,맞다이,동반자살을 3자로?
,매관매직,탐관오리가 가장 좋아하는 마술은?
,매니큐어,매니 파퀴아오가 다쳤을 때 바르는 것은?
,매움,매가 불닭볶움면을 먹으면?
,맥주,애플에서 나온 술은?
,맷씨코,맷 데이먼의 코를 3자로?
,머리가 제일 큰 사람,"판사, 요리사, 군인, 경찰 중에서 누가 제일 큰 모자를 쓸까?"
,먼데이키즈,"""이 아이는 대체 뭐지""를 영어로?"
,메이드인 저어머니,"""이것은 저의 어머니가 만든 것입니다""를 영어로?"
,멕시코,세상에서 제일 큰 코는?
,멜빵,옷에 걸고 다니는 빵은?
,명란젓깔,명란젓의 여자친구 이름은?
,모내기,밥 먹기 위해서 하는 내기는?
,모래사장,모래를 파는 CEO는?
,모스크봐,이슬람 사원을 꼭 봐야 하는 관광지는?
,모자이크,엄마와 아들이 같이 택견을 하면?
,모차렐라,잠을 못 자는 신데렐라는?
,모함,가장 심심한 배는?
,목수,못 사는 사람들이 하는 직업은?
,목욕탕,우리나라에서 김이 가장 많이 나는 곳은?
,목장갑,최고의 목장을 3자로?
,목장주인,말이 많은 사람은?
,목캔디,D가 나무를 캐면?
,몬스터주식회사,밥으로 괴물만 먹는 회사는?
,못,사 온다고 하면서도 못 사 오는 것은?
,못,사 왔는데도 못 사 왔다는 소리를 듣는 것은?
,묘목,고양이가 열리는 나무는?
,무뚝뚝,무가 눈물을 흘리면?
,무선마우스,쥐가 무서우면?
,무선전화기,가장 무서운 전화기는?
,무슬림,무가 날씬해지는 것을 3자로?
,무슬림,뚱뚱한 아랍 부호를 3자로?
,무전취식,밥 먹으면서 전화하면?
,무지개,가장 멍청한 개는?
,무지개,가장 아름다운 개는?
,무직뱅크,은행원이 없는 은행은?
,무화과,화를 내지 않는 과일은?
,문,곰이 물구나무를 서면?
,문이 네 개니깐,차 문을 세게 닫으면 안 되는 이유는?
,물경구,설경구가 녹으면?
,물로켓,고양이를 물로 만들면?
,물불 안가리니까,소방수와 싸우면 못 이기는 이유는?
,뭉게구름,할 일 없어서 죽치고 뒹굴고 있는 상태를 4자로?
,뭐라고,사오정이 다니는 학교는?
,뭐라고,사오정이 다니는 고등학교는?
,미꾸스몰,미꾸라지의 반대말은?
,미꾸엑스라지,미꾸라지보다 더 큰 물고기는?
,미끄럼틀,노인이 길 가다가 자빠지면?
,미남,아무리 예뻐도 미녀라고 못하는 사람은?
,미더덕,가장 믿음직스러운 오리는?
,미라클,시체가 커지면?
,미래에셋,아이를 셋 낳을 계획을 세우면?
,미사일,천주교 신자가 성당에서 예배드리는 일은?
,미소,가장 행복한 소는?
,미스테이크,소고기가 실수를 하면?
,미아역,길을 잃어버리기 쉬운 지하철역은?
,미어캣,고양이를 싫어하는 동물은?
,밀림,지구상에서 자동차 교통이 가장 심하게 막히는 곳은?
,밀짚모자,모자가 여러 개 모여 있는 것을 4자로?
,바다 건너게,아 배불러
,바다가 육지라면,먹지 못하는 라면은?
,바람난 사람,여름을 가장 시원하게 보내는 사람은?
,바보 온달,바보가 달에 가면?
,바비브라운,누룽지를 영어로?
,바비큐,돼지가 열받으면 어떻게 되나?
,바이킹,왕과 작별 인사를 뭐라고 할까?
,바지,둘어가는 구멍은 하나인데 나오는 구멍은 둘인 것은?
,바퀴벌레,벌레 중 가장 빠른 벌레는?
,박보영,흥부가 좋아하는 연예인은?
,박스,박 씨들이 모여있으면
,박혁거세,고자인 왕은?
,반나절,스님이 웃통을 벗고 있는 절은?
,반지름,2만 원 중에 1만 원만 현질하면?
,반포동,덜 뚱뚱한 사람들이 모여있는 동네는?
,발렌시아가,옷을 가장 잘 입는 며느리는?
,발암 유발,선풍기가 위험한 이유는?
,밤송이,형제들이 옷 한벌을 같이 입고도 사이좋게 지내는 것은?
,방귀문,달이 방귀를 뀌면?
,방석,손님이 올 때마다 끌려 나오는 것은?
,방패,인류가 만든 가장 창의적 무기는?
,배드민턴,침대를 밀고 돌리면?
,배불러,과식하면 사람들이 늘 부르는 것은?
,배우,다 배웠는데도 여전히 배우라고 불리는 사람은?
,배철수,어부들이 싫어하는 사람은?
,백조,가장 비싼 새는?
,뱀파이어,뱀에 불이 붙으면?
,버건디,햄버거는 무슨 색깔일까?
,버락 오바마,화를 잘 내는 대통령은?
,버섯,숲속에서 자라는 것 중 가장 야한 것은?
,버스기사,버스에서 절대 자리 양보를 안 하는 사람은?
,버스커버스커,대한민국 연예인 중 가장 큰 차를 타고 다니는 연예인은?
,버스킹,왕이 탈의하면?
,버스킹,왕이 길 가다가 노래를 부르면?
,번 화가,일러스트레이터가 불타면?
,번개,돈을 버는 개는?
,번개,가장 빠른 개는?
,범죄도시,도둑질하기 좋은 시간은?
,벙글,모든 싱글들의 짝은?
,베어먹음,곰은 사과를 어떻게 먹을까?
,변비,하늘에서 똥이 내리면?
,변사체,똥 누다가 죽으면?
,변호사,똥에 입김을 불다가 죽으면?
,병역기피자,군대에서 배달 주문을 안 받으려고 하는 피자는?
,병을 물리치료구,물리치료를 받는 이유는?
,보,권투선수의 주먹보다 강한 것은?
,보스턴,사장님이 복도를 돌아서 가면?
,보이차,소년들만 탈 수 있는 차는?
,부대찌개,군인들이 먹는 찌개는?
,부직포,똥을 4번 싸면?
,부처핸썸,잘생긴 부처는?
,부천,우리나라에서 아버지가 가장 많은 지역은?
,부탄,불이 나면 터지기 쉬운 나라는?
,분당,바람이 귀엽게 부는 곳은 어디일까?
,불경기,장사꾼들이 싫어하는 경기는?
,불로소득,불장난으로 돈을 벌면?
,불만있는 사람,라이터는 있는데 담배가 없는 사람은?
,불어,경찰이 음주단속할 때 가장 많이 사용하는 언어는?
,불필요한 사람,담배는 있는데 라이터가 없는 사람은?
,붓,세상에 태어난 뒤로 머리를 한 번도 깎아 본 적이 없는 것은?
,붕어빵,차량 사고를 3자로?
,브로 콜 리,"""형 이 씨 좀 불러줘""를 영어로 하면?"
,비닐하우스,"청와대는 블루하우스, 백악관은 화이트 하우스 그럼 투명한 집은?"
,비만관리,가수 비의 매니저가 하는 일?
,비엔나 소시지,소녀시대 gee를 비랑 같이 부르면?
,비엔나소세지,가수 비랑 나랑 목장에서 소를 세면?
,비영리단체,멍청한 집단을 다른 말로?
,비올라,신경통 환자가 가장 싫어하는 악기는?
,비쥬얼,"""보석이 아니다""를 3자로?"
,비행기,공중 화장실은 어디에 있나?
,비행기타고가요~,"""날아다니는 기타가 비싸다""란 의미가 포함된 노래 가사는?"
,빙신,펭귄이 신는 신발은?
,빨랫줄,마른 옷은 벗고 젖은 옷만 입는 것은?
,빵터짐,제빵왕 김탁구가 싫어하는 것은?
,뻐킹,왕이 욕을 하면?
,뽀송뽀송해,송해가 샤워를 하고 나면?
,삐까삐까함,한지우랑 오바람 중 누가 더 강한지 알아?
,사계절,4마리의 개가 절을 하면?
,사과,늘 미안한 과일은?
,사과나무,언제나 잘못을 비는 나무는?
,사다리,다리 두 개에 갈비뼈만 앙상한 것은?
,사랑해,가장 행복한 바다는?
,사와디캅,세상에서 가장 인사성이 밝은 경찰은?
,사인펜,펜이 엄청 많으면?
,사자,과소비가 심한 동물은?
,사전,밭이 사막으로 이루어져 있으면?
,사파이어,불이 4개 있으면?
,사행성,"수성, 금성, 지구, 화성이 모이면 도박성이 강해지는 이유는?"
,사후경직,다이하드를 한글로 하면?
,산채비빔밥,가장 잔인한 비빔밥은?
,산타,등산의 다른 말?
,산타,산불의 다른 말은?
,산타 할아버지,한 아이가 산에서 밑에 있는 할아버지에게 올라오라고 한 말은?
,산타페,산타가 싫어하는 차는?
,살피세요,주름살을 펼 때 하는 말은?
,삼국사기,한국 역사상 규모가 가장 컸던 사기 사건은?
,삼국지영걸전,삼국시대의 젊은 여자들에 대한 이야기를 다룬 책은?
,상하의,가수 설운도가 옷을 벗는 순서가 어떻게 될까?
,상해,주방장들이 가장 싫어하는 도시는?
,샌드위치,모래사장에 사는 마녀를 뭐라 부를까?
,생선은 전부 비리니까,해산물이 전부 '부패'하는 이유는?
,"서양엔 프로이트, 동양엔 묵자",가장 미식가인 철학자는?
,서울시립대,서울이 추우면?
,서큘레이터,'나중에 널 빨아줘'를 영어로?
,설거지,설날에 용돈을 하나도 못 받으면?
,설거지,서울에 사는 거지는?
,설문지,쥐가 혀를 깨물면?
,설사,눈이 죽으면?
,설왕설래,키스를 4자로?
,설운도,눈과 구름을 자르는 칼은?
,섬유유연제,옷감을 울게 만드는 것은?
,성공,공중에서 사람들이 가장 좋아하는 공은?
,성남,우리나라에서 가장 화나 있는 도시는?
,성동일,"송혜교, 송대관, 송지효의 공통점은?"
,세금,사람들이 가장 싫어하는 금은?
,세명대학교,우리나라에서 학생 수가 제일 적은 대학교는?
,세차장,"김차장, 박차장, 이차장이 모인 장소는?"
,소개팅,소랑 개랑 부딪히면?
,소고기 무국,소고기를 안 넣고 끓인 국은?
,소금,물에서 태어났으면서도 물에 들어가면 죽는 것은?
,소문,작아서 볼 수가 없는 문은?
,소방관,불이 났는데 소가 가만히 보고만 있는 것은?
,소설가,소가 서울 가는 것을 3자로?
,소스,소가 여러 마리면?
,소오름,소가 계단에 올라가는 것을 3자로?
,소원,소가 한 마리면?
,소코키 사무케치,꼰대희가 창씨개명을 하면?
,소포,소가 네 마리면?
,속 터져,만두 가게 주인이 가장 싫어하는 말은?
,손수건,직접 만든 총은?
,솔로몬,가장 외로운 왕은?
,송구하옵니다,신하가 왕한테 공 던지면서 하는 말은?
,솩,수학을 한 자로?
,수도권 배출,지방 흡입의 반대말은?
,수도꼭지,고개를 숙이고 눈물 흘리는 것은?
,수면양말,사람들이 졸려하는 말은?
,수제비,사람이 즐겨 먹는 제비는?
,수종,"이성계는 태조, 이방원은 태종이다"
,"수컷, 물뱀",칼로 물을 벤다를 2자로?
,수학 익힘책,수학 책을 난로 위에 놓으면?
,숙주 나 물,기생충이 목마를 때 하는 말?
,술고래,육지에 사는 고래는?
,술이 들깨,해장국밥 먹을 때 들깨를 넣으면 안 되는 이유는?
,숨소리,사람들이 살면서 가장 많이 하는 소리는?
,쉬즈곤,소변을 보고 물을 내리면?
,쉰밥,50에 먹는 밥은?
,슈퍼주니어,슈퍼맨이 어렸을 때를 뭐라고 할까?
,스모킹,왕이 담배를 피우면?
,스타벅스,벌레들이 별이 되면?
,스타워즈,스타들이 싸우는 모습 4자로?
,스타크래프트,아이언맨 왼쪽에 있는 것은?
,스판,슈퍼맨의 가슴에'S'자는 무엇의 약자인가?
,스페이스바,우주인들이 술 마시는 곳은?
,슬그머니,도둑이 훔친 돈을 뭐라고 할까?
,슬금슬금,도둑고양이에게 가장 잘 어울리는 금은?
,시드니,꽃가게 주인이 가장 싫어하는 도시는?
,시드니 / 말라가,점점 말라가는 도시?
,시리아,항상 추운 나라는?
,시험문제,많이 맞을수록 좋은 것은?
,시험지,진짜 문제투성이인 것은?
,식스센스,"""스님이 숫자를 6까지 세었다""를 4자로?"
,신기록,깨면 칭찬받는 것은?
,신난다,신발이 날아가면?
,신내림,신이 차에서 내리면?
,신동엽,슈퍼주니어 신동 옆에 있는 사람은?
,신라면세점,신라면을 세 젓가락만 주는 곳은?
,신문,하루아침에 온 세상을 내다볼 수 있는 문은?
,신바람,가장 기분 좋은 바람은?
,신발 끈,신발이 화가 나면?
,신사용 숙녀용,화장실에 사는 두 마리 용은?
,"신체, 발부",수지의 부모 이름은?
,실 없는 사람,바늘만 가지고 다닌 사람을 부르는 말은?
,실례합니다,실내화가 자기소개를 할 때 하는 말은?
,심기불편,모내기 기계가 고장이 나면?
,심술,놀부가 가장 좋아하는 술은?
,심은진,청바지를 땅에 심으면?
,싸이먼디,싸이를 모르는 래퍼는?
,썬텐,태양이 10개가 뜨면?
,썰렁해,가장 추운 바다의 이름은?
,쓸데없는 여자,비 오는 날 마당에서 빗자루를 들고 서 있는 여자는?
,아기염소,곰돌이 푸가 제일 싫어하는 동물은?
,아까운 사람,좀전에 울었던 사람을 다른 말로까?
,아라비아따,중동에서 친구 없는 사람들이 마시는 음료는?
,아마zone,누구나 고민을 하게 되는 장소는?
,아마겟돈,"""친구한테 돈을 빌려 줬는데 돈을 받을 것 같다"" 4자로?"
,아메리카노,미국이 싫으면?
,아싸 호랑나비,외톨이인 곤충은?
,아야,우유가 넘어지면?
,아야어여오요우유,세종대왕이 마시는 우유는?
,아웃백,'지갑에서 100원을 꺼냈다'를 3자로 하면?
,아이구,'아홉 명의 자식들'을 3자로?
,아프리카,세상에서 제일 큰 차는?
,안과의사,눈 오는 날만 일하는 사람은?
,안마사,등쳐먹고 사는 사람은?
,안보리,다시는 얼굴 안 본다고 해놓고 또 만나는 회의?
,안시성,더러운 사람만 사는 성은?
,안절부절,가장 엄숙하지 않은 절은?
,안타,'타자'의 반대말은?
,알래스카,북극곰이 타고 다니는 차는?
,암바사,암바를 당해서 죽으면?
,암소쏘리,수소가 암소의 발을 밟았을 때 한 말은?
,암스트롱,팔힘이 가장 센 사람은?
,암흑,흑인이 자기소개를 하면?
,앙팡,우유가 아프면?
,애틀란타,어린이가 노인을 마구 때리면?
,앵커,어머 벌이 새끼 벌에게 먹이를 주면서 하는 말은?
,야간투시경,밤에 성시경이 2명 있으면?
,야자나무,고등학생이 싫어하는 나무는?
,약국,가장 쓴 국은?
,양념,양손으로 소금을 뿌리면?
,양초,어두울 때면 우리 머리를 풀어 헤치고 물을 흘리는 것은?
,양탄자,양을 탄 사람?
,어른 더워,'아이 추워'의 반대말은?
,어메이징,징을 놀랍도록 세게 치면?
,어부,망칠수록 돈을 버는 사람은?
,어여왕,여왕이 빨리 오면?
,언덕,오리가 얼면?
,언빌리버블,가장 놀라운 거품은?
,얼음,땀을 흘릴 수록 작아지는 것은?
,엄마가 이김,아기가지면?
,없데이트,모태솔로를 영어로?
,엉거주춤,가장 멋없는 춤은?
,에그머니,달걀을 팔고 받은 돈은?
,에미넴,엄마 이름을 그대로 물려받은 가수는?
,에스케이투,스케이트 선수가 좋아하는 화장품은?
,에펠탑,애들이 가장 싫어하는 탑?
,엑스칼리버,칼이 못 들어가는 강은?
,엘리베이터,타는 것인데 앞뒤로 못 움직이는 것은?
,엠블랙,엄마가 흑인이면?
,여자친구,백범 김구 선생이 여자를 때리면?
,역마살,많이 돌아다닐수록 빠지는 살은?
,연산군,수학을 가장 잘했던 조선시대 임금은?
,연세우유,오래된 우유를 다른 말로?
,연필,항상 흑심을 품고 있는 것은?
,열받아,가장 뜨거운 바다는?
,열차 기관사,진짜 기적을 몰고 오는 사람은?
,엿 장사,"""병든 자여 다 내게로 오라""고 말한 사람은?"
,영감,먹지 못하는 감은?
,영양갱,깡패 중에 제일 건강한 사람은?
,영어,젊은 물고기는?
,영업 중,길거리에서 시주를 받는 스님들을 무슨 중이라고 할까?
,옆구리,몸에서 금속이 가장 많은 곳은?
,오뎅,'뎅뎅뎅뎅뎅'을 2자로?
,오랑캐,개와 오랑우탄이 교배해서 낳은 것은?
,오륜가,컴퓨터가 고장 났을 때 읊는 시는?
,오리지날,'오리도 지랄하면 날 수 있다'를 4자로?
,오목,나무 다섯 그루는?
,오무린거,핑거(finger) 반대말?
,오세아니아,5살짜리가 없는 지역은?
,오소리,매일 미안한 동물은?
,오솔길,소나무 숲에 다섯 개로 갈림길 난 것을 뭐라고 할까?
,올라가용,'용이 하늘로 올라간다'를 4자로?
,와,바다와 육지 사이에 있는 것은?
,와,리액션이 좋은 아이스크림은?
,와사비,가수 비가 매운 것을 먹으면?
,와이프 집 나갔소,아재들이 좋아하는 소?
,와장창,세상에서 가장 잘 부러지는 창은?
,왕건,가장 큰 총을 가진 왕은?
,왕꿈틀,왕이 꿈틀 되면?
,왜 로 워,이순신 장군이 일본에 선전포고를 했을 때 했던 말은?
,왜 싸워,일본인과의 싸움은?
,왜불러,일본 프랑스 러시아를 3자로?
,왜사니?,"""일본에 사냐?""를 다른 말로?"
,왜이팅,일식을 영어로?
,왼손,오른손으로는 들어도 왼손으로는 들지 못하는 것은?
,요강,가장 더러운 물이 흐르는 강은?
,요절복통,개그맨이 잘 걸리는 병은?
,욕,입으로 먹지 않고 귀로 먹는 것은?
,욕,많이 먹을수록 화나는 것은?
,용용 죽겠지,용 2마리가 서로 죽도록 싸우는 모습을 5자로?
,용접,용과 용이 만나면?
,용접기,용접기사들이 평소에 하는 취미는?
,우거지,?소가 구걸을 하면?
,우낌,소가 나무 사이에 끼면?
,우리 아이가 달라줬어요,미국에서 부모가 아이에게 돈을 받으면?
,우리말 겨루기,내가 키우던 말이 다른 말과 싸우면?
,우사인 볼트,소가 감전 당해서 죽으면?
,우씨,비가 올 때 하는 욕은?
,우엉,뽑으면 우는 식물은?
,우잌,아베가 빵 터질 때 한 말은?
,우중충,비가 오거나 날이 흐린 날 나타나는 벌레는?
,우하하,소가 웃는 소리를 3자로?
,울면,크리스마스에 팔지 않는 음식은?
,워매워매,소가 전쟁을 하면?
,워크래프트,왼쪽으로 걷는 사람은?
,워킹,왕이 걷는 것은?
,원빈,콩 한 알을 영어로 하면?
,원통,가장 억울한 도형은?
,월월,개가 벽보고 뭐라고 했을까?
,윈도 98,유리창 100개 중 2개가 깨지면?
,윈드밀,공기밥을 영어로 하면 뭐임?
,윙크,눈 깜짝할 사이에 할 수 있는 일은?
,유비무환,'비가 오는 날에는 환자가 없다'를 4자로?
,유언비어,맥주가 죽기 전에 남긴 말은?
,유인나,"""너 일어나""를 3자로?"
,유해진,몸에 해로운 청바지는?
,유희열,당신이 기쁨을 느끼면?
,은하수,우주에서 먹는 물은?
,을지문덕,싸움을 가장 잘 하는 오리는?
,의문사라서 모름,영어 공부하던 사람이 죽은 이유는?
,이다해,1+1의 답을 조선족이 히면?
,이미자,가장 빨리 잠든 사람은?
,이발사,손님이 깎아 달라는 대로 깎아 주는 사람은?
,이번 주 비빔밥,전주비빔밥의 반대말은?
